正式位置,攤位名稱,攤位類型,請幫你的攤位下Hashtag,攤位簡介,攤位代表圖,相關社群連結 (只能填一個連結)
A5,雲林動漫影展,"原創作品, 官方周邊",#雲林 #影展 #動漫 #影視,"《特邀合作攤位》
雲林影展為從雲林出發，致力推廣台灣「優秀的動畫影視作品」為主的影展，促進雲林地區之影片動畫之創作發展，表現雲林地區充沛的創作能量，並提昇在地影片動畫創作技術與藝術內涵，推動雲林影片動畫邁向國際。",https://www.instagram.com/yunlin.film.festival?igsh=dmlxYjEwczRtNmwx&utm_source=qr
A6,蟑屍動漫社,同人二創,,《特邀合作攤位》,
A7-A8,白色齒輪,"原創作品, 同人二創, 官方周邊",#鉤織娃衣小物 #cosplay假髮 #葬送的芙莉蓮 #進擊的巨人,白色齒輪x肚咕手作，販售商品有手作娃衣、小物、一番賞周邊、cosplay用假髮…等，歡迎大家來挖寶,
A9-A10,守祚魔法堂,"原創作品, 同人二創",#棉花娃 #衍生飾品 #戀與深空,守祚森林裡的小精靈，調皮活潑的小鈴喵，前往帶走屬於自己的小寵物,https://www.instagram.com/magic2202002?igsh=MW1wb2dhMmZqZGVjcg==
B5-B6,milk café,"同人二創, 官方周邊",#maimai #知更鳥 #簽繪板 #壓克力,"大家好~這裡是milk café！
這裡主要產出二創作品，
如果有希望看到的角色，歡迎許願或委託。",https://lit.link/zh-tw/yanagiba
B7-B8,滾滾四邊不打動,"原創作品, 同人二創",,,
B9-B12,音樂遊戲限定周邊販售,官方周邊,#世界計畫 #BEMANI #KONAMI #SEGA,"大家好，個人收藏了無數的音樂遊戲周邊，藉由市集擺攤活動來向各位玩家進行交流。
目前較常在南部出攤，難得在雲林出攤，還請各位玩家把握機會，入手特殊周邊！
沒有要買東西的也可以來找我聊天交流！
目前這裡有大量世界計畫周邊，歡迎來看看！ ",https://www.instagram.com/musicgame_goods/
C1-C2,8七兔,同人二創,#Hololive #Ninomae Ina'nis ,"大家好這邊是8七兔~
這次一樣畫了滿滿的INA，還收入了可愛的SABA跟時尚的羽衣媽媽~

今年的新刊套組也是誠意滿滿，久違的出了ytakodachi杯套喔~
歡迎大家來看看~現場也準備了獎項豐富的扭蛋機給大家玩~",https://lit.link/en/8nanausa
C3,FOODpenguin,同人二創,#男性向 #明日方舟 #終末地,https://x.com/yaku_joan,https://www.facebook.com/share/14YbQKi7LYx/?mibextid=wwXIfr
C4,嘩啦嘩啦,同人二創,,,
C5,tsubumi,"同人二創, 官方周邊",#vspo #vtuber,會販賣vspo紡木小景的同人周邊,https://www.facebook.com/share/18WWxXDMiz/?mibextid=wwXIfr
C6-C9,楓玥小築,官方周邊,#Hololive #男性向,,
C10-C13,班妮動漫,同人二創,,,
C14,米粒R ミリア,官方周邊,#地下偶像 #舞台演出#周邊販售 #Mirir,"米粒R的物販攤位
演出結束後會在此進行物販
物販的商品以拍立得、手機拍為主",https://www.instagram.com/utababy_mirir?igsh=MTF6NXluamVxNzgxeg%3D%3D&utm_source=qr
D1-D2,懶癌末期的水草夏希,同人二創,#拼豆 #にじさんじ #世界計畫 #綜合向,就只是個喜歡玩拼豆的人類，所以做了好多拼豆,https://www.instagram.com/natsuki_honpo?igsh=eWg4dTRyYmh0YTg2
D3,我在漫威很想你,同人二創,#漫威 #蜘蛛人 #死侍 #同人周邊,孤獨搞漫威蟲賤蟲不是漫威爭鋒是漫畫版本喲,
D4,蛇奢不會菇咕固,同人二創,,,
